name,phone,email,city,category,tags
"Bar La Terraza","+529531234596","",Tlaxiaco,bar,"posible-cliente,tlaxiaco"
"Hotel Posada Tlaxiaco","+529531234597","",Tlaxiaco,hotel,"posible-cliente,tlaxiaco"
"Hotel Real de Tlaxiaco","+529531234598","",Tlaxiaco,hotel,"posible-cliente,tlaxiaco"
"Muebleria El Hogar","+529531234599","",Tlaxiaco,muebleria,"posible-cliente,tlaxiaco"
"Colchoneria Confort","+529531234600","",Tlaxiaco,muebleria,"posible-cliente,tlaxiaco"
"Electronica Tlaxiaco","+529531234601","",Tlaxiaco,electronica,"posible-cliente,tlaxiaco"
"Telefonia Movil Plus","+529531234602","",Tlaxiaco,electronica,"posible-cliente,tlaxiaco"
"Floristeria Orquideas","+529531234603","",Tlaxiaco,floristeria,"posible-cliente,tlaxiaco"
"Funeraria La Paz","+529531234604","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Agencia de Viajes Tlaxiaco","+529531234605","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Inmobiliaria Oaxaca Sur","+529531234606","",Tlaxiaco,inmobiliaria,"posible-cliente,tlaxiaco"
"Notaria Publica No. 1","+529531234607","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Academia de Ingles Smart","+529531234608","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Guarderia El Arcangel","+529531234609","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Gimnasio Fit Life","+529531234610","",Tlaxiaco,deporte,"posible-cliente,tlaxiaco"
"Yoga Studio Tlaxiaco","+529531234611","",Tlaxiaco,deporte,"posible-cliente,tlaxiaco"
"Minimarket 24h","+529531234612","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Laundromat Express","+529531234613","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Copy Center Tlaxiaco","+529531234614","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Estudio Fotografico Retrato","+529531234615","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Veterinaria Pet Care","+529531234616","",Tlaxiaco,veterinaria,"posible-cliente,tlaxiaco"
"Mascotas Store","+529531234617","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Auditiorio Municipal","+529531234618","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Palacio Municipal","+529531234619","",Tlaxiaco,gobierno,"posible-cliente,tlaxiaco"
"Clinica IMSS Tlaxiaco","+529531234620","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Hospital Comunitario","+529531234621","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Abogados & Asociados","+529531234622","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Contador Publico Lopez","+529531234623","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Constructora Oaxaca","+529531234624","",Tlaxiaco,construccion,"posible-cliente,tlaxiaco"
"Materiales de Construccion","+529531234625","",Tlaxiaco,construccion,"posible-cliente,tlaxiaco"
"Plomeria Express","+529531234626","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Electricidad Tlaxiaco","+529531234627","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Pinturas El Color","+529531234628","",Tlaxiaco,construccion,"posible-cliente,tlaxiaco"
"Tapiceria Los Artesanos","+529531234629","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Sastreria Moderna","+529531234630","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Relojeria El Tiempo","+529531234631","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Optica Vision Plus","+529531234632","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Audiologia Tlaxiaco","+529531234633","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Fisioterapia Rehab","+529531234634","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Nutriologa Dra. Sanchez","+529531234635","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Psicologo Garcia","+529531234636","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Medico General Martinez","+529531234637","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Pediatra Dra. Ruiz","+529531234638","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Ginecologa Dra. Vazquez","+529531234639","",Tlaxiaco,salud,"posible-cliente,tlaxiaco"
"Farmacia Nueva","+529531234640","",Tlaxiaco,farmacia,"posible-cliente,tlaxiaco"
"Minisuper Familiar","+529531234641","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Abarrotes Don Beto","+529531234642","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Tienda de Ropa Moda","+529531234643","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Zapateria El Paso","+529531234644","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Bijuteria Plata Viva","+529531234645","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Artesanias Oaxaca","+529531234646","",Tlaxiaco,artesania,"posible-cliente,tlaxiaco"
"Textiles Indigenas","+529531234647","",Tlaxiaco,artesania,"posible-cliente,tlaxiaco"
"Barbieria El Clasico","+529531234648","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Spa Relax","+529531234649","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Maquillaje Profesional","+529531234650","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Tattoo Studio","+529531234651","",Tlaxiaco,belleza,"posible-cliente,tlaxiaco"
"Lavanderia Automatica","+529531234652","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Fumigaciones Tlaxiaco","+529531234653","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Seguridad Privada Total","+529531234654","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Mudanzas Express","+529531234655","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Empaque y Envios","+529531234656","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Imprenta Digital","+529531234657","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Diseno Grafico Plus","+529531234658","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Fotografia Profesional","+529531234659","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Video y Produccion","+529531234660","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Musica y Son Jarocho","+529531234661","",Tlaxiaco,cultura,"posible-cliente,tlaxiaco"
"Escuela de Musica","+529531234662","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Academia de Danza","+529531234663","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Kinder Mi Sueño","+529531234664","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Preparatoria Tlaxiaco","+529531234665","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Colegio Primaria","+529531234666","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Instituto Tecnologico","+529531234667","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Biblioteca Publica","+529531234668","",Tlaxiaco,educacion,"posible-cliente,tlaxiaco"
"Casa de Cultura","+529531234669","",Tlaxiaco,cultura,"posible-cliente,tlaxiaco"
"Museo Regional","+529531234670","",Tlaxiaco,cultura,"posible-cliente,tlaxiaco"
"Parroquia San Juan","+529531234671","",Tlaxiaco,religion,"posible-cliente,tlaxiaco"
"Templo de la Merced","+529531234672","",Tlaxiaco,religion,"posible-cliente,tlaxiaco"
"Mercado Municipal","+529531234673","",Tlaxiaco,mercado,"posible-cliente,tlaxiaco"
"Tiangis Tlaxiaco","+529531234674","",Tlaxiaco,mercado,"posible-cliente,tlaxiaco"
"Estacion de Servicio","+529531234675","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Coppel Tlaxiaco","+529531234676","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Autorride Tlaxiaco","+529531234677","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Camion de Pasajeros","+529531234678","",Tlaxiaco,transporte,"posible-cliente,tlaxiaco"
"Taxi Radio Tlaxiaco","+529531234679","",Tlaxiaco,transporte,"posible-cliente,tlaxiaco"
"Mensajeria Express","+529531234680","",Tlaxiaco,transporte,"posible-cliente,tlaxiaco"
"Carga y Acarreo","+529531234681","",Tlaxiaco,transporte,"posible-cliente,tlaxiaco"
"Grua 24 Horas","+529531234682","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Polarizado Tlaxiaco","+529531234683","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Baterias y Alternadores","+529531234684","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Refaccionaria El Rincon","+529531234685","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Accesorios Auto Plus","+529531234686","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Lavado de Autos Premium","+529531234687","",Tlaxiaco,automotriz,"posible-cliente,tlaxiaco"
"Tintoreria Express","+529531234688","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Costura y Ajustes","+529531234689","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Cerrajeria 24h","+529531234690","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Llaves y Repuestos","+529531234691","",Tlaxiaco,servicios,"posible-cliente,tlaxiaco"
"Acuario Tlaxiaco","+529531234692","",Tlaxiaco,tienda,"posible-cliente,tlaxiaco"
"Jardin y Plantas","+529531234693","",Tlaxiaco,jardin,"posible-cliente,tlaxiaco"
"Vivero El Green","+529531234694","",Tlaxiaco,jardin,"posible-cliente,tlaxiaco"
"Pizzas Express","+529531234695","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Burritos Don Memo","+529531234696","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Tacos El Paisa","+529531234697","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Mariscos La Playa","+529531234698","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Cocina Oaxaqueña","+529531234699","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Sushi Tlaxiaco","+529531234700","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"China Wok","+529531234701","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Sandwicheria Deli","+529531234702","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Jugos y Licuados Naturales","+529531234703","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
"Carnitas El Michoacano","+529531234704","",Tlaxiaco,restaurante,"posible-cliente,tlaxiaco"
